id,role,level,type,question_text,options_json,correct_answer_index,topic
1261,Data Scientist,Intern,coding,Write a small CLI or utility that exercises Bayesian inference end-to-end.,,,Bayesian inference
1262,Data Scientist,Intern,coding,"Given a scenario involving feature engineering, write code to handle it correctly, including edge cases.",,,feature engineering
1263,Data Scientist,Intern,coding,Debug and fix a piece of code with a common issue related to cross-validation.,,,cross-validation
1264,Data Scientist,Intern,coding,Implement a test suite validating correct behavior for data cleaning.,,,data cleaning
1265,Data Scientist,Intern,coding,"Given performance constraints, optimize an implementation related to bias-variance tradeoff.",,,bias-variance tradeoff
1266,Data Scientist,Intern,coding,Write a script that automates a task related to reporting dashboards.,,,reporting dashboards
1267,Data Scientist,Intern,coding,Implement a small module that solves a problem related to sampling methods.,,,sampling methods
1268,Data Scientist,Intern,coding,Implement a test suite validating correct behavior for hypothesis testing.,,,hypothesis testing
1269,Data Scientist,Intern,coding,Implement a test suite validating correct behavior for model evaluation metrics.,,,model evaluation metrics
1270,Data Scientist,Intern,coding,Write a small CLI or utility that exercises predictive modeling end-to-end.,,,predictive modeling
1271,Data Scientist,Intern,coding,Implement a small module that solves a problem related to predictive modeling.,,,predictive modeling
1272,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies statistical significance.,,,statistical significance
1273,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies hypothesis testing.,,,hypothesis testing
1274,Data Scientist,Intern,coding,Write a small CLI or utility that exercises time series analysis end-to-end.,,,time series analysis
1275,Data Scientist,Intern,coding,Refactor a naive implementation involving time series analysis to be more efficient or maintainable.,,,time series analysis
1276,Data Scientist,Intern,coding,"Given performance constraints, optimize an implementation related to probability distributions.",,,probability distributions
1277,Data Scientist,Intern,coding,Debug and fix a piece of code with a common issue related to correlation vs causation.,,,correlation vs causation
1278,Data Scientist,Intern,coding,Write a script that automates a task related to model evaluation metrics.,,,model evaluation metrics
1279,Data Scientist,Intern,coding,Write a small CLI or utility that exercises A/B testing end-to-end.,,,A/B testing
1280,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies missing data imputation.,,,missing data imputation
1281,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies cross-validation.,,,cross-validation
1282,Data Scientist,Intern,coding,"Given performance constraints, optimize an implementation related to model evaluation metrics.",,,model evaluation metrics
1283,Data Scientist,Intern,coding,Write a script that automates a task related to confidence intervals.,,,confidence intervals
1284,Data Scientist,Intern,coding,"Given performance constraints, optimize an implementation related to SQL for analytics.",,,SQL for analytics
1285,Data Scientist,Intern,coding,"Given performance constraints, optimize an implementation related to data visualization principles.",,,data visualization principles
1286,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies cohort analysis.,,,cohort analysis
1287,Data Scientist,Intern,coding,Write a small CLI or utility that exercises probability distributions end-to-end.,,,probability distributions
1288,Data Scientist,Intern,coding,Implement a small module that solves a problem related to Bayesian inference.,,,Bayesian inference
1289,Data Scientist,Intern,coding,Write a small CLI or utility that exercises data ethics end-to-end.,,,data ethics
1290,Data Scientist,Intern,coding,Implement a small module that solves a problem related to data storytelling.,,,data storytelling
1291,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies outlier detection.,,,outlier detection
1292,Data Scientist,Intern,coding,"Given a scenario involving predictive modeling, write code to handle it correctly, including edge cases.",,,predictive modeling
1293,Data Scientist,Intern,coding,"Given a scenario involving correlation vs causation, write code to handle it correctly, including edge cases.",,,correlation vs causation
1294,Data Scientist,Intern,coding,Write a script that automates a task related to SQL for analytics.,,,SQL for analytics
1295,Data Scientist,Intern,coding,Implement a small module that solves a problem related to clustering algorithms.,,,clustering algorithms
1296,Data Scientist,Intern,coding,Write a function/program that demonstrates or applies regression analysis.,,,regression analysis
1297,Data Scientist,Intern,coding,Write a script that automates a task related to hypothesis testing.,,,hypothesis testing
1298,Data Scientist,Intern,coding,Debug and fix a piece of code with a common issue related to bias-variance tradeoff.,,,bias-variance tradeoff
1299,Data Scientist,Intern,coding,Write code that handles failure/error cases correctly for SQL for analytics.,,,SQL for analytics
1300,Data Scientist,Intern,coding,Refactor a naive implementation involving feature engineering to be more efficient or maintainable.,,,feature engineering
1301,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when missing data imputation is handled incorrectly?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind missing data imputation.""}, {""index"": 1, ""text"": ""An outdated approach to missing data imputation that ignores current best practices.""}, {""index"": 2, ""text"": ""A superficial application of missing data imputation that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Treating missing data imputation as equivalent to Bayesian inference \u2014 a common but incorrect assumption.""}]",0,missing data imputation
1302,Data Scientist,Associate,mcq,Which factor most influences the effectiveness of cohort analysis in practice?,"[{""index"": 0, ""text"": ""Confusing cohort analysis with data pipelines, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Prioritizing exploratory data analysis at the expense of properly addressing cohort analysis.""}, {""index"": 2, ""text"": ""A superficial application of cohort analysis that overlooks important edge cases.""}, {""index"": 3, ""text"": ""An accurate, practical description of how cohort analysis functions in real Data Scientist work.""}]",3,cohort analysis
1303,Data Scientist,Associate,mcq,Which factor most influences the effectiveness of data cleaning in practice?,"[{""index"": 0, ""text"": ""Treating data cleaning as equivalent to data storytelling \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Focusing on data visualization principles while overlooking the actual requirements of data cleaning.""}, {""index"": 2, ""text"": ""Correctly applying data cleaning according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""A superficial application of data cleaning that overlooks important edge cases.""}]",2,data cleaning
1304,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when data ethics is handled incorrectly?,"[{""index"": 0, ""text"": ""An outdated approach to data ethics that ignores current best practices.""}, {""index"": 1, ""text"": ""Treating data ethics as equivalent to hypothesis testing \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""A superficial application of data ethics that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Correctly applying data ethics according to established best practices for a Data Scientist.""}]",3,data ethics
1305,Data Scientist,Associate,mcq,Which statement about data visualization principles is most accurate?,"[{""index"": 0, ""text"": ""An outdated approach to data visualization principles that ignores current best practices.""}, {""index"": 1, ""text"": ""A superficial application of data visualization principles that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Correctly applying data visualization principles according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""Applying the principles of big data tools in a situation that calls for data visualization principles instead.""}]",2,data visualization principles
1306,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when SQL for analytics is handled incorrectly?,"[{""index"": 0, ""text"": ""Addressing the core purpose of SQL for analytics while accounting for known edge cases.""}, {""index"": 1, ""text"": ""Applying the principles of data storytelling in a situation that calls for SQL for analytics instead.""}, {""index"": 2, ""text"": ""Confusing SQL for analytics with model evaluation metrics, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of SQL for analytics that overlooks important edge cases.""}]",0,SQL for analytics
1307,Data Scientist,Associate,mcq,"In the context of Data Scientist work, what is the primary purpose of outlier detection?","[{""index"": 0, ""text"": ""Confusing outlier detection with Bayesian inference, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Addressing the core purpose of outlier detection while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Focusing on statistical significance while overlooking the actual requirements of outlier detection.""}, {""index"": 3, ""text"": ""Applying the principles of regression analysis in a situation that calls for outlier detection instead.""}]",1,outlier detection
1308,Data Scientist,Associate,mcq,Which factor most influences the effectiveness of exploratory data analysis in practice?,"[{""index"": 0, ""text"": ""Addressing the core purpose of exploratory data analysis while accounting for known edge cases.""}, {""index"": 1, ""text"": ""Prioritizing A/B testing at the expense of properly addressing exploratory data analysis.""}, {""index"": 2, ""text"": ""Confusing exploratory data analysis with model evaluation metrics, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""Applying the principles of cohort analysis in a situation that calls for exploratory data analysis instead.""}]",0,exploratory data analysis
1309,Data Scientist,Associate,mcq,What is a key characteristic of data cleaning?,"[{""index"": 0, ""text"": ""Applying the principles of feature engineering in a situation that calls for data cleaning instead.""}, {""index"": 1, ""text"": ""An accurate, practical description of how data cleaning functions in real Data Scientist work.""}, {""index"": 2, ""text"": ""An outdated approach to data cleaning that ignores current best practices.""}, {""index"": 3, ""text"": ""Treating data cleaning as equivalent to experiment design \u2014 a common but incorrect assumption.""}]",1,data cleaning
1310,Data Scientist,Associate,mcq,"In the context of Data Scientist work, what is the primary purpose of cross-validation?","[{""index"": 0, ""text"": ""A superficial application of cross-validation that overlooks important edge cases.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind cross-validation.""}, {""index"": 2, ""text"": ""Confusing cross-validation with missing data imputation, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""Prioritizing dimensionality reduction at the expense of properly addressing cross-validation.""}]",1,cross-validation
1311,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when data pipelines is handled incorrectly?,"[{""index"": 0, ""text"": ""Applying the principles of exploratory data analysis in a situation that calls for data pipelines instead.""}, {""index"": 1, ""text"": ""Confusing data pipelines with data cleaning, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind data pipelines.""}, {""index"": 3, ""text"": ""A superficial application of data pipelines that overlooks important edge cases.""}]",2,data pipelines
1312,Data Scientist,Associate,mcq,"In the context of Data Scientist work, what is the primary purpose of statistical significance?","[{""index"": 0, ""text"": ""Applying the principles of exploratory data analysis in a situation that calls for statistical significance instead.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind statistical significance.""}, {""index"": 2, ""text"": ""A superficial application of statistical significance that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Prioritizing data pipelines at the expense of properly addressing statistical significance.""}]",1,statistical significance
1313,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to hypothesis testing?,"[{""index"": 0, ""text"": ""An accurate, practical description of how hypothesis testing functions in real Data Scientist work.""}, {""index"": 1, ""text"": ""Confusing hypothesis testing with missing data imputation, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Prioritizing exploratory data analysis at the expense of properly addressing hypothesis testing.""}, {""index"": 3, ""text"": ""Applying the principles of time series analysis in a situation that calls for hypothesis testing instead.""}]",0,hypothesis testing
1314,Data Scientist,Associate,mcq,A Data Scientist needs to make a decision involving data ethics. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""Prioritizing regression analysis at the expense of properly addressing data ethics.""}, {""index"": 1, ""text"": ""An outdated approach to data ethics that ignores current best practices.""}, {""index"": 2, ""text"": ""Focusing on hypothesis testing while overlooking the actual requirements of data ethics.""}, {""index"": 3, ""text"": ""A structured approach that directly satisfies the intent behind data ethics.""}]",3,data ethics
1315,Data Scientist,Associate,mcq,A Data Scientist needs to make a decision involving data cleaning. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""An accurate, practical description of how data cleaning functions in real Data Scientist work.""}, {""index"": 1, ""text"": ""Applying the principles of A/B testing in a situation that calls for data cleaning instead.""}, {""index"": 2, ""text"": ""Treating data cleaning as equivalent to hypothesis testing \u2014 a common but incorrect assumption.""}, {""index"": 3, ""text"": ""A superficial application of data cleaning that overlooks important edge cases.""}]",0,data cleaning
1316,Data Scientist,Associate,mcq,Which of the following best describes data pipelines?,"[{""index"": 0, ""text"": ""Prioritizing cross-validation at the expense of properly addressing data pipelines.""}, {""index"": 1, ""text"": ""Confusing data pipelines with missing data imputation, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Correctly applying data pipelines according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""Applying the principles of experiment design in a situation that calls for data pipelines instead.""}]",2,data pipelines
1317,Data Scientist,Associate,mcq,What distinguishes a correct implementation of A/B testing from a flawed one?,"[{""index"": 0, ""text"": ""A superficial application of A/B testing that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Treating A/B testing as equivalent to exploratory data analysis \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""Applying the principles of predictive modeling in a situation that calls for A/B testing instead.""}, {""index"": 3, ""text"": ""An accurate, practical description of how A/B testing functions in real Data Scientist work.""}]",3,A/B testing
1318,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to clustering algorithms?,"[{""index"": 0, ""text"": ""A superficial application of clustering algorithms that overlooks important edge cases.""}, {""index"": 1, ""text"": ""Applying the principles of SQL for analytics in a situation that calls for clustering algorithms instead.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind clustering algorithms.""}, {""index"": 3, ""text"": ""Confusing clustering algorithms with cohort analysis, which actually serves a different purpose.""}]",2,clustering algorithms
1319,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to reporting dashboards?,"[{""index"": 0, ""text"": ""Prioritizing data visualization principles at the expense of properly addressing reporting dashboards.""}, {""index"": 1, ""text"": ""Correctly applying reporting dashboards according to established best practices for a Data Scientist.""}, {""index"": 2, ""text"": ""A superficial application of reporting dashboards that overlooks important edge cases.""}, {""index"": 3, ""text"": ""An outdated approach to reporting dashboards that ignores current best practices.""}]",1,reporting dashboards
1320,Data Scientist,Associate,mcq,Which of the following best describes data storytelling?,"[{""index"": 0, ""text"": ""Treating data storytelling as equivalent to regression analysis \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""An accurate, practical description of how data storytelling functions in real Data Scientist work.""}, {""index"": 2, ""text"": ""Applying the principles of hypothesis testing in a situation that calls for data storytelling instead.""}, {""index"": 3, ""text"": ""Confusing data storytelling with predictive modeling, which actually serves a different purpose.""}]",1,data storytelling
1321,Data Scientist,Associate,mcq,What distinguishes a correct implementation of statistical significance from a flawed one?,"[{""index"": 0, ""text"": ""Prioritizing data cleaning at the expense of properly addressing statistical significance.""}, {""index"": 1, ""text"": ""Confusing statistical significance with missing data imputation, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""An accurate, practical description of how statistical significance functions in real Data Scientist work.""}, {""index"": 3, ""text"": ""Treating statistical significance as equivalent to experiment design \u2014 a common but incorrect assumption.""}]",2,statistical significance
1322,Data Scientist,Associate,mcq,"In the context of Data Scientist work, what is the primary purpose of SQL for analytics?","[{""index"": 0, ""text"": ""Prioritizing cohort analysis at the expense of properly addressing SQL for analytics.""}, {""index"": 1, ""text"": ""An accurate, practical description of how SQL for analytics functions in real Data Scientist work.""}, {""index"": 2, ""text"": ""Confusing SQL for analytics with probability distributions, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of SQL for analytics that overlooks important edge cases.""}]",1,SQL for analytics
1323,Data Scientist,Associate,mcq,Which factor most influences the effectiveness of experiment design in practice?,"[{""index"": 0, ""text"": ""Focusing on data ethics while overlooking the actual requirements of experiment design.""}, {""index"": 1, ""text"": ""Applying the principles of time series analysis in a situation that calls for experiment design instead.""}, {""index"": 2, ""text"": ""Correctly applying experiment design according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""A superficial application of experiment design that overlooks important edge cases.""}]",2,experiment design
1324,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when statistical significance is handled incorrectly?,"[{""index"": 0, ""text"": ""Confusing statistical significance with data ethics, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Addressing the core purpose of statistical significance while accounting for known edge cases.""}, {""index"": 2, ""text"": ""An outdated approach to statistical significance that ignores current best practices.""}, {""index"": 3, ""text"": ""Prioritizing cohort analysis at the expense of properly addressing statistical significance.""}]",1,statistical significance
1325,Data Scientist,Associate,mcq,What is a key characteristic of statistical significance?,"[{""index"": 0, ""text"": ""Treating statistical significance as equivalent to data cleaning \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Correctly applying statistical significance according to established best practices for a Data Scientist.""}, {""index"": 2, ""text"": ""Focusing on Bayesian inference while overlooking the actual requirements of statistical significance.""}, {""index"": 3, ""text"": ""Applying the principles of model evaluation metrics in a situation that calls for statistical significance instead.""}]",1,statistical significance
1326,Data Scientist,Associate,mcq,What is the main benefit of using Bayesian inference in a Data Scientist context?,"[{""index"": 0, ""text"": ""Prioritizing data cleaning at the expense of properly addressing Bayesian inference.""}, {""index"": 1, ""text"": ""A superficial application of Bayesian inference that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Correctly applying Bayesian inference according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""An outdated approach to Bayesian inference that ignores current best practices.""}]",2,Bayesian inference
1327,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when Bayesian inference is handled incorrectly?,"[{""index"": 0, ""text"": ""A structured approach that directly satisfies the intent behind Bayesian inference.""}, {""index"": 1, ""text"": ""An outdated approach to Bayesian inference that ignores current best practices.""}, {""index"": 2, ""text"": ""Confusing Bayesian inference with regression analysis, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of Bayesian inference that overlooks important edge cases.""}]",0,Bayesian inference
1328,Data Scientist,Associate,mcq,Which of the following best describes predictive modeling?,"[{""index"": 0, ""text"": ""Focusing on A/B testing while overlooking the actual requirements of predictive modeling.""}, {""index"": 1, ""text"": ""An outdated approach to predictive modeling that ignores current best practices.""}, {""index"": 2, ""text"": ""An accurate, practical description of how predictive modeling functions in real Data Scientist work.""}, {""index"": 3, ""text"": ""Applying the principles of confidence intervals in a situation that calls for predictive modeling instead.""}]",2,predictive modeling
1329,Data Scientist,Associate,mcq,Which statement about cohort analysis is most accurate?,"[{""index"": 0, ""text"": ""Correctly applying cohort analysis according to established best practices for a Data Scientist.""}, {""index"": 1, ""text"": ""Confusing cohort analysis with data storytelling, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Applying the principles of probability distributions in a situation that calls for cohort analysis instead.""}, {""index"": 3, ""text"": ""An outdated approach to cohort analysis that ignores current best practices.""}]",0,cohort analysis
1330,Data Scientist,Associate,mcq,Which of the following would a senior Data Scientist flag as a risk when model evaluation metrics is handled incorrectly?,"[{""index"": 0, ""text"": ""Confusing model evaluation metrics with SQL for analytics, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Correctly applying model evaluation metrics according to established best practices for a Data Scientist.""}, {""index"": 2, ""text"": ""Prioritizing A/B testing at the expense of properly addressing model evaluation metrics.""}, {""index"": 3, ""text"": ""An outdated approach to model evaluation metrics that ignores current best practices.""}]",1,model evaluation metrics
1331,Data Scientist,Associate,mcq,Which of the following best describes hypothesis testing?,"[{""index"": 0, ""text"": ""Confusing hypothesis testing with data storytelling, which actually serves a different purpose.""}, {""index"": 1, ""text"": ""Focusing on experiment design while overlooking the actual requirements of hypothesis testing.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind hypothesis testing.""}, {""index"": 3, ""text"": ""Treating hypothesis testing as equivalent to Bayesian inference \u2014 a common but incorrect assumption.""}]",2,hypothesis testing
1332,Data Scientist,Associate,mcq,A Data Scientist needs to make a decision involving outlier detection. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""Focusing on data storytelling while overlooking the actual requirements of outlier detection.""}, {""index"": 1, ""text"": ""Confusing outlier detection with correlation vs causation, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind outlier detection.""}, {""index"": 3, ""text"": ""Prioritizing statistical significance at the expense of properly addressing outlier detection.""}]",2,outlier detection
1333,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to predictive modeling?,"[{""index"": 0, ""text"": ""Prioritizing bias-variance tradeoff at the expense of properly addressing predictive modeling.""}, {""index"": 1, ""text"": ""Confusing predictive modeling with data ethics, which actually serves a different purpose.""}, {""index"": 2, ""text"": ""Applying the principles of probability distributions in a situation that calls for predictive modeling instead.""}, {""index"": 3, ""text"": ""Addressing the core purpose of predictive modeling while accounting for known edge cases.""}]",3,predictive modeling
1334,Data Scientist,Associate,mcq,What is a key characteristic of cross-validation?,"[{""index"": 0, ""text"": ""An outdated approach to cross-validation that ignores current best practices.""}, {""index"": 1, ""text"": ""Applying the principles of statistical significance in a situation that calls for cross-validation instead.""}, {""index"": 2, ""text"": ""Confusing cross-validation with exploratory data analysis, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""An accurate, practical description of how cross-validation functions in real Data Scientist work.""}]",3,cross-validation
1335,Data Scientist,Associate,mcq,What is the main benefit of using statistical significance in a Data Scientist context?,"[{""index"": 0, ""text"": ""Focusing on clustering algorithms while overlooking the actual requirements of statistical significance.""}, {""index"": 1, ""text"": ""Treating statistical significance as equivalent to predictive modeling \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""A superficial application of statistical significance that overlooks important edge cases.""}, {""index"": 3, ""text"": ""Addressing the core purpose of statistical significance while accounting for known edge cases.""}]",3,statistical significance
1336,Data Scientist,Associate,mcq,A Data Scientist needs to make a decision involving reporting dashboards. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""Treating reporting dashboards as equivalent to missing data imputation \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Applying the principles of time series analysis in a situation that calls for reporting dashboards instead.""}, {""index"": 2, ""text"": ""Correctly applying reporting dashboards according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""Prioritizing clustering algorithms at the expense of properly addressing reporting dashboards.""}]",2,reporting dashboards
1337,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to regression analysis?,"[{""index"": 0, ""text"": ""Prioritizing reporting dashboards at the expense of properly addressing regression analysis.""}, {""index"": 1, ""text"": ""Treating regression analysis as equivalent to hypothesis testing \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""A structured approach that directly satisfies the intent behind regression analysis.""}, {""index"": 3, ""text"": ""An outdated approach to regression analysis that ignores current best practices.""}]",2,regression analysis
1338,Data Scientist,Associate,mcq,"When applying data pipelines, which of the following is a best practice?","[{""index"": 0, ""text"": ""Focusing on predictive modeling while overlooking the actual requirements of data pipelines.""}, {""index"": 1, ""text"": ""Treating data pipelines as equivalent to data cleaning \u2014 a common but incorrect assumption.""}, {""index"": 2, ""text"": ""Addressing the core purpose of data pipelines while accounting for known edge cases.""}, {""index"": 3, ""text"": ""A superficial application of data pipelines that overlooks important edge cases.""}]",2,data pipelines
1339,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to feature engineering?,"[{""index"": 0, ""text"": ""Treating feature engineering as equivalent to probability distributions \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Focusing on missing data imputation while overlooking the actual requirements of feature engineering.""}, {""index"": 2, ""text"": ""Confusing feature engineering with hypothesis testing, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""An accurate, practical description of how feature engineering functions in real Data Scientist work.""}]",3,feature engineering
1340,Data Scientist,Associate,mcq,Which of the following is NOT typically associated with correlation vs causation?,"[{""index"": 0, ""text"": ""An outdated approach to correlation vs causation that ignores current best practices.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind correlation vs causation.""}, {""index"": 2, ""text"": ""Focusing on Bayesian inference while overlooking the actual requirements of correlation vs causation.""}, {""index"": 3, ""text"": ""Treating correlation vs causation as equivalent to statistical significance \u2014 a common but incorrect assumption.""}]",1,correlation vs causation
1341,Data Scientist,Associate,mcq,What is the main benefit of using bias-variance tradeoff in a Data Scientist context?,"[{""index"": 0, ""text"": ""An accurate, practical description of how bias-variance tradeoff functions in real Data Scientist work.""}, {""index"": 1, ""text"": ""Applying the principles of sampling methods in a situation that calls for bias-variance tradeoff instead.""}, {""index"": 2, ""text"": ""An outdated approach to bias-variance tradeoff that ignores current best practices.""}, {""index"": 3, ""text"": ""Treating bias-variance tradeoff as equivalent to big data tools \u2014 a common but incorrect assumption.""}]",0,bias-variance tradeoff
1342,Data Scientist,Associate,mcq,Which of the following is NOT typically associated with Bayesian inference?,"[{""index"": 0, ""text"": ""Treating Bayesian inference as equivalent to missing data imputation \u2014 a common but incorrect assumption.""}, {""index"": 1, ""text"": ""Correctly applying Bayesian inference according to established best practices for a Data Scientist.""}, {""index"": 2, ""text"": ""Prioritizing time series analysis at the expense of properly addressing Bayesian inference.""}, {""index"": 3, ""text"": ""Focusing on big data tools while overlooking the actual requirements of Bayesian inference.""}]",1,Bayesian inference
1343,Data Scientist,Associate,mcq,Which of the following best describes big data tools?,"[{""index"": 0, ""text"": ""Applying the principles of SQL for analytics in a situation that calls for big data tools instead.""}, {""index"": 1, ""text"": ""An accurate, practical description of how big data tools functions in real Data Scientist work.""}, {""index"": 2, ""text"": ""Confusing big data tools with reporting dashboards, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""A superficial application of big data tools that overlooks important edge cases.""}]",1,big data tools
1344,Data Scientist,Associate,mcq,Which statement about clustering algorithms is most accurate?,"[{""index"": 0, ""text"": ""A superficial application of clustering algorithms that overlooks important edge cases.""}, {""index"": 1, ""text"": ""A structured approach that directly satisfies the intent behind clustering algorithms.""}, {""index"": 2, ""text"": ""Prioritizing data pipelines at the expense of properly addressing clustering algorithms.""}, {""index"": 3, ""text"": ""Confusing clustering algorithms with correlation vs causation, which actually serves a different purpose.""}]",1,clustering algorithms
1345,Data Scientist,Associate,mcq,Which of the following is NOT typically associated with SQL for analytics?,"[{""index"": 0, ""text"": ""Prioritizing Bayesian inference at the expense of properly addressing SQL for analytics.""}, {""index"": 1, ""text"": ""Applying the principles of exploratory data analysis in a situation that calls for SQL for analytics instead.""}, {""index"": 2, ""text"": ""Correctly applying SQL for analytics according to established best practices for a Data Scientist.""}, {""index"": 3, ""text"": ""A superficial application of SQL for analytics that overlooks important edge cases.""}]",2,SQL for analytics
1346,Data Scientist,Associate,mcq,A Data Scientist needs to make a decision involving confidence intervals. Which option reflects the correct reasoning?,"[{""index"": 0, ""text"": ""Addressing the core purpose of confidence intervals while accounting for known edge cases.""}, {""index"": 1, ""text"": ""Focusing on regression analysis while overlooking the actual requirements of confidence intervals.""}, {""index"": 2, ""text"": ""Applying the principles of experiment design in a situation that calls for confidence intervals instead.""}, {""index"": 3, ""text"": ""Confusing confidence intervals with clustering algorithms, which actually serves a different purpose.""}]",0,confidence intervals
1347,Data Scientist,Associate,mcq,Which statement about big data tools is most accurate?,"[{""index"": 0, ""text"": ""Correctly applying big data tools according to established best practices for a Data Scientist.""}, {""index"": 1, ""text"": ""A superficial application of big data tools that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Applying the principles of data cleaning in a situation that calls for big data tools instead.""}, {""index"": 3, ""text"": ""Prioritizing sampling methods at the expense of properly addressing big data tools.""}]",0,big data tools
1348,Data Scientist,Associate,mcq,Which option correctly explains a common pitfall related to big data tools?,"[{""index"": 0, ""text"": ""Focusing on regression analysis while overlooking the actual requirements of big data tools.""}, {""index"": 1, ""text"": ""A superficial application of big data tools that overlooks important edge cases.""}, {""index"": 2, ""text"": ""Applying the principles of cohort analysis in a situation that calls for big data tools instead.""}, {""index"": 3, ""text"": ""Correctly applying big data tools according to established best practices for a Data Scientist.""}]",3,big data tools
1349,Data Scientist,Associate,mcq,What is a key characteristic of SQL for analytics?,"[{""index"": 0, ""text"": ""An outdated approach to SQL for analytics that ignores current best practices.""}, {""index"": 1, ""text"": ""Addressing the core purpose of SQL for analytics while accounting for known edge cases.""}, {""index"": 2, ""text"": ""Confusing SQL for analytics with data pipelines, which actually serves a different purpose.""}, {""index"": 3, ""text"": ""Treating SQL for analytics as equivalent to confidence intervals \u2014 a common but incorrect assumption.""}]",1,SQL for analytics
